matchId,href,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
0Kv8ku8n,https://www.flashscore.com/match/basketball/bulgaria-t8oMbC2h/sweden-fuqXiPgO/summary/?mid=0Kv8ku8n,20.02. 18:30AOT,Bulgaria,Sweden,81,77,25,9,24,12,11,22,17,15,16,7
Q3Nen9tP,https://www.flashscore.com/match/basketball/latvia-IPYbeZIn/spain-OKERpL3q/summary/?mid=Q3Nen9tP,20.02. 18:30,Latvia,Spain,83,66,20,21,22,20,,17,17,16,16,
K6KmlVBC,https://www.flashscore.com/match/basketball/italy-n5lUdjX4/turkey-EJrArDma/summary/?mid=K6KmlVBC,20.02. 18:30,Turkey,Italy,67,80,12,19,19,17,,17,31,12,20,
ETJimkRI,https://www.flashscore.com/match/basketball/hungary-UDBtdAnB/iceland-QeebgR95/summary/?mid=ETJimkRI,20.02. 18:00,Hungary,Iceland,87,78,20,28,24,15,,21,11,25,21,
4I8DnIz8,https://www.flashscore.com/match/basketball/iceland-QeebgR95/italy-n5lUdjX4/summary/?mid=4I8DnIz8,25.11. 20:30,Italy,Iceland,74,81,9,20,27,18,,22,10,26,23,
xOOShgcs,https://www.flashscore.com/match/basketball/belgium-jk5QtiIB/latvia-IPYbeZIn/summary/?mid=xOOShgcs,25.11. 20:15,Belgium,Latvia,83,85,20,21,25,17,,16,20,22,27,
dQAbALSE,https://www.flashscore.com/match/basketball/slovakia-lSZ19QOb/spain-OKERpL3q/summary/?mid=dQAbALSE,25.11. 20:00,Spain,Slovakia,84,71,22,25,24,13,,18,14,25,14,
jRSWiDCm,https://www.flashscore.com/match/basketball/germany-bVp0e7fa/sweden-fuqXiPgO/summary/?mid=jRSWiDCm,25.11. 19:30,Germany,Sweden,80,61,23,18,19,20,,19,12,17,13,
QR99mbL1,https://www.flashscore.com/match/basketball/israel-Q7cwvk2U/ukraine-4h9UuBXH/summary/?mid=QR99mbL1,25.11. 19:00,Israel,Ukraine,88,75,11,18,27,32,,16,24,17,18,
plSziXRg,https://www.flashscore.com/match/basketball/bulgaria-t8oMbC2h/montenegro-rN44xrxQ/summary/?mid=plSziXRg,25.11. 18:00,Bulgaria,Montenegro,86,90,21,27,19,19,,22,19,25,24,
IZBfB1D8,https://www.flashscore.com/match/basketball/hungary-UDBtdAnB/turkey-EJrArDma/summary/?mid=IZBfB1D8,25.11. 18:00,Hungary,Turkey,76,81,14,17,23,22,,21,19,14,27,
r3K4lv6e,https://www.flashscore.com/match/basketball/portugal-dGX2fgYh/slovenia-vHfUe4nd/summary/?mid=r3K4lv6e,25.11. 18:00,Slovenia,Portugal,83,82,24,20,22,17,,17,32,19,14,
GhzQeMDL,https://www.flashscore.com/match/basketball/denmark-SCogBnfn/serbia-Qq17dU1H/summary/?mid=GhzQeMDL,24.11. 20:00,Serbia,Denmark,98,51,25,25,20,28,,17,11,11,12,
zwHdj0yq,https://www.flashscore.com/match/basketball/lithuania-2BDVquJk/north-macedonia-O2ZfdF3t/summary/?mid=zwHdj0yq,24.11. 18:30,Lithuania,North Macedonia,94,72,23,20,21,30,,27,19,16,10,
W4YDbOT2,https://www.flashscore.com/match/basketball/bosnia-herzegovina-bqdHahmn/croatia-0hOg67IT/summary/?mid=W4YDbOT2,24.11. 18:00,Bosnia & Herzegovina,Croatia,110,90,22,28,33,27,,21,29,13,27,
ruxIcrq9,https://www.flashscore.com/match/basketball/great-britain-KhcD0YXu/greece-ba2gXuFg/summary/?mid=ruxIcrq9,24.11. 17:30,Greece,Great Britain,77,67,17,23,17,20,,15,17,18,17,
UaG0kKjk,https://www.flashscore.com/match/basketball/estonia-nsrT0eeP/poland-G6eedmug/summary/?mid=UaG0kKjk,24.11. 17:00,Estonia,Poland,86,88,25,17,21,23,,22,18,22,26,
